"id","arabic","latin","sajda","ayah","created_at","updated_at","deleted_at"
1,سورة الفاتحة,Al-Fatiha,"0",7,,,
2,سورة البقرة,Al-Baqara,"0",286,,,
3,سورة آل عمران,Aal-e-Imran,"0",200,,,
4,سورة النساء,An-Nisa,"0",176,,,
5,سورة المائدة,Al-Maeda,"0",120,,,
6,سورة الأنعام,Al-Anaam,"0",165,,,
7,سورة الأعراف,Al-Araf,"206",206,,,
8,سورة الأنفال,Al-Anfal,"0",75,,,
9,سورة التوبة,At-Taubah,"0",129,,,
10,سورة يونس,Yunus,"0",109,,,
11,سورة هود,Hud,"0",123,,,
12,سورة يوسف,Yusuf,"0",111,,,
13,سورة الرعد,Ar-Rad,"15",43,,,
14,سورة إبراهيم,Ibrahim,"0",52,,,
15,سورة الحجر,Al-Hijr,"0",99,,,
16,سورة النحل,An-Nahl,"50",128,,,
17,سورة الإسراء,Al-Isra,"100",111,,,
18,سورة الكهف,Al-Kahf,"0",110,,,
19,سورة مريم,Maryam,"58",98,,,
20,سورة طه,Taha,"0",135,,,
21,سورة الأنبياء,Al-Anbiya,"0",112,,,
22,سورة الحج,Al-Hajj,"18",78,,,
23,سورة المؤمنون,Al-Mumenoon,"0",118,,,
24,سورة النور,An-Noor,"0",64,,,
25,سورة الفرقان,Al-Furqan,"60",77,,,
26,سورة الشعراء,Ash-Shuara,"0",227,,,
27,سورة النمل,An-Naml,"26",93,,,
28,سورة القصص,Al-Qasas,"0",88,,,
29,سورة العنكبوت,Al-Ankaboot,"0",69,,,
30,سورة الروم,Ar-Room,"0",60,,,
31,سورة لقمان,Luqman,"0",34,,,
32,سورة السجدة,As-Sajda,"15",30,,,
33,سورة الأحزاب,Al-Ahzab,"0",73,,,
34,سورة سبأ,Saba,"0",54,,,
35,سورة فاطر,Fatir,"0",45,,,
36,سورة يس,Ya Seen,"0",83,,,
37,سورة الصافات,As-Saaffat,"0",182,,,
38,سورة ص,Sad,"24",88,,,
39,سورة الزمر,Az-Zumar,"0",75,,,
40,سورة غافر,Ghafir,"0",85,,,
41,سورة فصلت,Fussilat,"38",54,,,
42,سورة الشورى,Ash-Shura,"0",53,,,
43,سورة الزخرف,Az-Zukhruf,"0",89,,,
44,سورة الدخان,Ad-Dukhan,"0",59,,,
45,سورة الجاثية,Al-Jathiya,"0",37,,,
46,سورة الأحقاف,Al-Ahqaf,"0",35,,,
47,سورة محمد,Muhammad,"0",38,,,
48,سورة الفتح,Al-Fath,"0",29,,,
49,سورة الحجرات,Al-Hujraat,"0",18,,,
50,سورة ق,Qaf,"0",45,,,
51,سورة الذاريات,Adh-Dhariyat,"0",60,,,
52,سورة الطور,At-tur,"0",49,,,
53,سورة النجم,An-Najm,"62",62,,,
54,سورة القمر,Al-Qamar,"0",55,,,
55,سورة الرحمن,Al-Rahman,"0",78,,,
56,سورة الواقعة,Al-Waqia,"0",96,,,
57,سورة الحديد,Al-Hadid,"0",29,,,
58,سورة المجادلة,Al-Mujadila,"0",22,,,
59,سورة الحشر,Al-Hashr,"0",24,,,
60,سورة الممتحنة,Al-Mumtahina,"0",13,,,
61,سورة الصف,As-Saff,"0",14,,,
62,سورة الجمعة,Al-Jumua,"0",11,,,
63,سورة المنافقون,Al-Munafiqoon,"0",11,,,
64,سورة التغابن,At-Taghabun,"0",18,,,
65,سورة الطلاق,At-Talaq,"0",12,,,
66,سورة التحريم,At-Tahrim,"0",12,,,
67,سورة الملك,Al-Mulk,"0",30,,,
68,سورة القلم,Al-Qalam,"0",52,,,
69,سورة الحاقة,Al-Haaqqa,"0",52,,,
70,سورة المعارج,Al-Maarij,"0",44,,,
71,سورة نوح,Nooh,"0",28,,,
72,سورة الجن,Al-Jinn,"0",28,,,
73,سورة المزمل,Al-Muzzammil,"0",20,,,
74,سورة المدثر,Al-Muddathir,"0",56,,,
75,سورة القيامة,Al-Qiyama,"0",40,,,
76,سورة الإنسان,Al-Insan,"0",31,,,
77,سورة المرسلات,Al-Mursalat,"0",50,,,
78,سورة النبأ,An-Naba,"0",40,,,
79,سورة النازعات,An-Naziat,"0",46,,,
80,سورة عبس,Abasa,"0",42,,,
81,سورة التكوير,At-Takwir,"0",29,,,
82,سورة الإنفطار,AL-Infitar,"0",19,,,
83,سورة المطففين,Al-Mutaffifin,"0",36,,,
84,سورة الانشقاق,Al-Inshiqaq,"21",25,,,
85,سورة البروج,Al-Burooj,"0",22,,,
86,سورة الطارق,At-Tariq,"0",17,,,
87,سورة الأعلى,Al-Ala,"0",19,,,
88,سورة الغاشية,Al-Ghashiya,"0",26,,,
89,سورة الفجر,Al-Fajr,"0",30,,,
90,سورة البلد,Al-Balad,"0",20,,,
91,سورة الشمس,Ash-Shams,"0",15,,,
92,سورة الليل,Al-Lail,"0",21,,,
93,سورة الضحى,Ad-Dhuha,"0",11,,,
94,سورة الشرح,Al-Inshirah,"0",8,,,
95,سورة التين,At-Tin,"0",8,,,
96,سورة العلق,Al-Alaq,"19",19,,,
97,سورة القدر,Al-Qadr,"0",5,,,
98,سورة البينة,Al-Bayyina,"0",8,,,
99,سورة الزلزلة,Al-Zalzala,"0",8,,,
100,سورة العاديات,Al-Adiyat,"0",11,,,
101,سورة القارعة,Al-Qaria,"0",11,,,
102,سورة التكاثر,At-Takathur,"0",8,,,
103,سورة العصر,Al-Asr,"0",3,,,
104,سورة الهمزة,Al-Humaza,"0",9,,,
105,سورة الفيل,Al-fil,"0",5,,,
106,سورة قريش,Quraish,"0",4,,,
107,سورة الماعون,Al-Maun,"0",7,,,
108,سورة الكوثر,Al-Kauther,"0",3,,,
109,سورة الكافرون,Al-Kafiroon,"0",6,,,
110,سورة النصر,An-Nasr,"0",3,,,
111,سورة المسد,Al-Masadd,"0",5,,,
112,سورة الإخلاص,Al-Ikhlas,"0",4,,,
113,سورة الفلق,Al-Falaq,"0",5,,,
114,سورة الناس,An-Nas,"0",6,,,
